,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,191,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
Adventitial fibroblasts,0,252,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,18,1,1,0,0,0,0
Alveolar fibroblasts,0,33,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0
Alveolar macrophages,0,2,0,750,0,0,0,0,0,0,8,0,0,0,1,1,0,0,251,0,0,0,7,0,0,1,0,0,0,0
B cells,0,0,0,0,246,1,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
Basal resting,0,1,0,0,0,647,0,0,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,97,1
CD4 T cells,0,0,0,0,5,0,775,103,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,1,0,0,1
CD8 T cells,1,1,0,0,2,3,128,862,0,0,1,1,0,1,0,0,0,5,0,0,0,94,4,0,0,1,0,0,2,0
Classical monocytes,0,1,0,0,0,0,1,0,909,0,10,0,0,0,1,0,0,0,26,0,0,0,35,0,0,4,0,1,0,0
Club,0,0,0,1,0,2,0,0,1,337,0,5,0,0,0,0,216,22,0,2,0,0,0,0,0,0,3,0,31,28
DC2,0,0,0,10,27,0,0,4,12,2,769,1,0,0,0,0,0,0,57,1,0,0,31,0,0,3,0,0,1,0
Deuterosomal,0,0,0,0,0,0,0,0,0,2,0,116,0,0,0,0,36,0,0,2,46,0,0,0,0,0,0,0,0,2
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,142,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,0,1,1,0,0,0,0,13,357,3,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,1,0,0,0,0,4,294,106,0,0,0,0,0,1,0,0,0,0,0,0,0,3
EC venous systemic,0,0,0,0,1,1,0,0,0,0,0,0,0,44,69,475,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Goblet,0,0,0,2,0,4,0,0,0,95,0,7,0,0,0,0,438,10,0,5,5,0,0,0,0,1,8,0,21,22
Hillock-like,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,186,0,0,0,0,0,0,0,0,0,0,29,0
Interstitial macrophages,0,0,0,118,1,0,1,0,52,0,79,0,0,0,0,0,0,0,667,0,0,1,50,0,0,2,0,0,0,0
Ionocyte,0,0,0,0,0,1,2,1,0,3,0,1,0,0,0,0,0,0,0,99,0,0,0,0,0,1,0,0,3,0
Multiciliated,2,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3,0,0,0,1176,0,0,0,0,0,0,0,1,7
NK cells,0,0,0,0,0,0,2,141,0,0,0,0,0,0,1,0,0,1,0,0,0,503,1,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,42,1,0,2,1,154,1,35,0,0,0,0,1,0,0,175,0,0,0,306,0,0,5,0,0,0,0
Peribronchial fibroblasts,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0
Pericytes,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
Plasma cells,0,0,0,0,8,3,12,2,1,0,0,0,0,1,1,1,0,0,4,5,0,0,0,0,0,274,0,0,0,0
SMG duct,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,158,5,2,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0
Suprabasal,1,0,0,1,0,84,0,0,0,56,0,1,0,0,0,0,16,64,0,1,0,0,0,0,0,0,2,0,616,2
Transitional Club-AT2,10,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,17,0,0,1,2,0,1,0,0,0,3,0,1,351
