,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4
Adventitial fibroblasts,0,177,34,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,27,0,2,0,0,0,0
Alveolar fibroblasts,0,30,273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,4,0,0,0,0,0
Alveolar macrophages,0,0,1,603,0,0,2,2,0,4,12,0,0,4,2,0,3,0,98,0,0,2,24,0,0,0,0,0,0,0
B cells,0,0,0,1,532,0,6,2,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Basal resting,0,0,0,0,0,594,1,0,0,20,0,0,0,0,0,0,1,12,0,8,0,0,0,0,0,0,0,0,111,3
CD4 T cells,1,0,0,0,3,1,860,96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0,0,1,0
CD8 T cells,0,1,0,0,5,1,115,852,0,2,0,0,0,0,0,0,2,0,0,0,0,47,0,0,0,5,0,0,5,1
Classical monocytes,0,0,0,0,0,0,1,0,929,1,30,1,0,0,0,0,0,0,23,2,0,0,44,0,0,3,0,0,1,0
Club,0,0,0,2,0,0,0,0,0,634,0,0,0,0,0,0,195,18,0,2,0,1,0,0,0,0,1,0,100,15
DC2,0,0,0,16,33,0,0,1,3,2,761,0,0,0,0,0,0,0,49,0,0,0,17,0,0,2,0,0,1,0
Deuterosomal,0,0,0,0,0,0,0,0,0,10,0,103,0,0,0,0,28,0,0,3,67,0,0,0,0,0,0,0,0,2
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,369,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,0,2,0,0,0,0,0,22,469,8,39,0,0,0,1,0,0,0,0,0,1,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,3,1,0,0,0,7,347,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,1,2,0,0,0,0,0,0,0,19,32,526,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Goblet,0,0,0,1,0,1,1,0,0,177,0,6,0,0,0,0,642,0,0,9,5,0,1,0,0,0,2,0,19,12
Hillock-like,0,0,0,0,0,22,0,0,0,22,0,0,1,0,0,0,1,271,0,0,0,0,0,0,0,0,0,0,60,0
Interstitial macrophages,1,0,0,159,2,0,0,3,75,3,108,0,0,0,0,0,2,0,658,0,0,4,103,0,0,2,0,0,2,0
Ionocyte,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,1,0,0,81,1,0,0,0,0,4,0,0,7,0
Multiciliated,0,0,0,0,0,10,0,0,0,5,0,18,0,0,0,0,10,0,0,1,1619,0,0,0,0,0,0,0,4,1
NK cells,0,0,0,0,0,0,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,0,1,0
Non-classical monocytes,0,0,0,22,2,0,4,1,88,1,42,0,0,0,0,0,0,0,93,0,0,0,291,0,0,4,0,0,0,0
Peribronchial fibroblasts,0,6,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,247,0,0,0,0,0,0
Pericytes,0,0,22,0,0,0,1,2,0,0,1,0,2,1,0,1,0,0,0,2,0,0,0,0,219,1,0,0,0,0
Plasma cells,1,0,0,3,2,1,13,4,9,0,0,0,0,0,0,3,0,0,5,1,0,0,4,0,1,224,0,0,1,0
SMG duct,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,249,3,2,2
SMG serous,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,144,0,0
Suprabasal,3,0,0,0,0,140,1,2,1,94,0,1,0,0,0,1,6,46,0,2,0,1,0,0,0,0,2,0,642,1
Transitional Club-AT2,10,0,0,0,2,0,0,0,1,20,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,1,550
