cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9912826899128269,0.9875930521091811,0.995,800.0
"CD16-negative, CD56-bright natural killer cell, human",0.8668941979522184,0.9202898550724637,0.8193548387096774,155.0
"CD16-positive, CD56-dim natural killer cell, human",0.9031884057971015,0.8902857142857142,0.9164705882352941,850.0
T-helper 22 cell,0.621676891615542,0.6637554585152838,0.5846153846153846,260.0
"central memory CD4-positive, alpha-beta T cell",0.26534653465346536,0.17493472584856398,0.5491803278688525,122.0
"effector CD8-positive, alpha-beta T cell",0.7532729103726082,0.6750902527075813,0.8519362186788155,439.0
"effector memory CD8-positive, alpha-beta T cell",0.6666666666666666,0.6951219512195121,0.6404494382022472,356.0
gamma-delta T cell,0.1834862385321101,0.5,0.11235955056179775,267.0
mature NK T cell,0.8833087149187593,0.9835526315789473,0.8016085790884718,373.0
mucosal invariant T cell,0.5664160401002506,0.5380952380952381,0.5978835978835979,189.0
naive B cell,0.9982046678635548,0.996415770609319,1.0,278.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8075980392156863,0.8036585365853659,0.8115763546798029,812.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6419019316493314,0.7346938775510204,0.5699208443271768,379.0
