,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Adventitial fibroblasts,0,359,29,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,12,2,0,0,0,0,0
Alveolar fibroblasts,0,41,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0
Alveolar macrophages,1,2,0,858,1,0,0,0,1,2,12,0,0,1,0,0,1,0,122,0,0,1,11,0,1,1,0,0,0,0
B cells,0,0,0,0,348,0,3,2,0,0,18,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7,0,0,0,0
Basal resting,0,1,0,0,0,588,1,0,1,3,0,0,0,1,0,1,0,10,0,2,0,0,0,0,0,1,1,0,75,0
CD4 T cells,0,0,0,0,2,0,730,88,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,1,0
CD8 T cells,0,1,1,1,5,2,102,758,1,0,1,0,0,0,0,0,2,2,1,0,0,70,4,1,0,0,0,0,0,0
Classical monocytes,0,0,1,0,0,0,0,0,911,0,18,0,0,0,2,0,0,0,46,0,0,1,75,0,0,3,0,0,1,0
Club,0,0,0,2,0,4,1,0,0,484,0,0,0,0,0,0,153,9,0,1,0,0,0,0,0,0,4,0,60,27
DC2,0,0,0,10,13,1,2,1,14,1,838,1,0,0,0,0,0,0,53,0,0,0,31,0,0,1,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,8,1,120,0,0,0,0,17,0,0,1,48,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,1,0,0,0,0,0,239,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
EC general capillary,0,0,1,1,0,0,3,1,1,0,0,0,15,382,9,28,0,0,1,1,0,0,0,0,1,0,0,0,0,0
EC venous pulmonary,0,0,0,1,0,0,0,0,0,1,0,0,0,5,399,45,0,0,2,0,0,0,0,0,0,0,0,0,0,2
EC venous systemic,0,0,0,0,0,0,0,0,0,2,0,0,0,28,67,459,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Goblet,0,0,0,3,0,2,1,0,0,135,0,7,0,0,0,0,512,2,0,6,12,0,1,0,0,0,15,0,14,13
Hillock-like,0,0,0,0,0,37,0,0,0,7,0,0,0,0,0,0,0,227,0,1,0,0,0,0,0,0,0,0,40,0
Interstitial macrophages,1,0,0,162,1,0,1,0,73,0,79,0,0,2,0,0,0,0,701,0,0,0,72,0,0,1,0,0,1,0
Ionocyte,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,100,0,0,0,1,0,3,0,0,0,0
Multiciliated,0,0,0,1,0,4,0,0,0,3,0,18,0,0,0,0,3,0,0,3,1338,0,0,0,0,0,0,0,0,3
NK cells,0,0,0,0,0,0,2,97,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,40,1,0,1,0,100,0,38,0,0,1,0,0,0,0,145,0,0,1,382,0,0,3,0,0,0,0
Peribronchial fibroblasts,0,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,160,0,0,0,0,0,0
Pericytes,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0
Plasma cells,0,0,1,3,0,6,18,3,1,0,0,0,0,2,0,1,0,0,5,5,0,1,4,1,0,245,0,0,0,0
SMG duct,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,222,3,0,1
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,124,0,0
Suprabasal,2,0,0,0,0,114,1,0,0,62,2,1,0,0,0,0,9,47,0,2,2,0,0,0,0,1,3,0,535,2
Transitional Club-AT2,12,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,1,2,460
