,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,299,0,0,0,0,0,0,0,4,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,42,9,0,0,1,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,5,215,0,0,7,0,15,3,0,0,0,0
T-helper 22 cell,0,0,0,69,25,0,2,1,0,6,0,2,2
"central memory CD4-positive, alpha-beta T cell",0,0,0,67,243,4,10,3,0,9,0,67,14
"effector CD8-positive, alpha-beta T cell",0,0,0,0,4,97,3,19,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,0,8,83,19,0,6,0,0,4
gamma-delta T cell,0,0,3,15,4,1,3,15,0,5,0,0,1
mature NK T cell,1,0,3,0,0,3,1,0,72,0,0,1,0
mucosal invariant T cell,0,0,0,7,0,0,10,10,0,48,0,3,0
naive B cell,0,0,0,0,0,0,0,0,0,0,189,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,1,20,0,0,0,0,1,0,205,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,37,20,0,6,2,0,0,0,18,76
