,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,202,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Adventitial fibroblasts,0,259,12,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,4
Alveolar fibroblasts,0,11,140,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20,0,0,0,0,0,0,0
Alveolar macrophages,0,2,0,816,0,0,1,0,3,0,9,0,0,1,0,0,0,0,178,0,0,0,10,0,0,1,0,0,0,0,0
B cells,0,0,0,0,253,2,2,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Basal resting,0,0,0,0,0,632,0,0,1,5,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,1,0,0,0,108,2
CD4 T cells,0,0,0,0,1,0,788,96,0,0,0,0,0,0,1,0,1,1,0,0,3,2,0,0,0,0,0,0,0,0,1
CD8 T cells,0,0,0,1,1,2,97,913,0,0,3,0,0,0,2,1,1,2,1,0,2,68,2,2,0,2,0,0,0,5,1
Classical monocytes,0,1,0,7,0,1,0,0,867,0,14,0,0,0,1,0,1,1,27,0,0,0,66,0,0,1,0,0,1,0,0
Club,0,0,0,0,0,1,0,0,1,406,0,1,0,0,0,0,139,13,0,0,1,0,2,0,0,0,7,0,0,53,24
DC2,0,0,0,13,1,2,1,5,28,2,770,0,0,0,0,0,1,0,65,0,1,1,22,0,0,1,0,0,0,0,5
Deuterosomal,0,0,0,0,0,0,0,0,0,1,0,178,0,0,0,0,14,0,0,0,9,0,0,0,0,0,0,0,0,1,1
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,144,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,2,0,0,0,1,0,0,0,0,6,343,11,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EC venous pulmonary,0,1,0,0,1,0,0,0,2,0,0,0,0,1,325,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,1,0,0,0,0,0,0,0,0,1,21,44,523,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Goblet,0,0,0,3,0,3,1,0,0,89,0,3,0,0,0,0,464,10,0,0,7,0,0,0,0,0,10,0,0,16,12
Hillock-like,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,2,192,0,0,0,0,0,0,0,0,0,0,0,28,0
Interstitial macrophages,0,0,0,108,0,2,2,0,29,0,66,0,0,0,0,0,0,0,740,0,0,1,21,0,0,0,0,0,0,1,1
Ionocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,110,0,0,0,0,0,0,0,0,0,0,0
Multiciliated,1,0,0,0,0,0,0,0,0,2,0,3,0,1,1,2,11,0,0,0,1168,0,0,0,0,1,0,0,0,0,8
NK cells,0,0,0,0,0,0,2,58,2,0,3,0,0,1,0,0,0,1,0,0,0,580,1,0,0,1,0,0,0,0,0
Non-classical monocytes,0,0,0,4,0,0,0,1,77,2,21,0,0,0,0,1,0,0,39,0,0,0,575,0,1,2,0,0,0,0,0
Peribronchial fibroblasts,0,25,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0
Pericytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
Plasma cells,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,303,0,0,0,3,0
SMG duct,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,164,0,2,1,4
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0
Suprabasal,2,0,0,0,0,53,0,0,0,42,0,1,0,0,1,0,25,50,1,0,1,0,0,0,0,0,0,0,0,668,0
Transitional Club-AT2,2,0,0,0,0,3,1,0,1,25,1,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,10,0,0,3,342
