,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,381,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,30
Adventitial fibroblasts,0,362,45,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0
Alveolar fibroblasts,0,91,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0
Alveolar macrophages,0,0,0,842,0,0,0,0,3,1,3,0,0,1,0,0,0,0,114,0,0,0,20,0,0,1,0,0,0,1
B cells,0,0,0,0,318,1,7,5,0,0,42,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,1,0
Basal resting,0,1,0,0,0,585,2,0,0,3,0,0,0,0,0,0,0,8,2,5,1,1,0,0,0,1,0,0,38,0
CD4 T cells,0,0,0,0,3,1,749,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,1,0,0,0
CD8 T cells,0,0,0,0,2,0,94,478,0,0,1,0,0,0,0,1,0,2,1,0,0,84,1,0,0,8,0,0,0,0
Classical monocytes,1,0,1,1,0,0,1,2,858,0,14,0,1,0,1,0,0,0,57,0,0,0,102,0,0,2,0,0,0,0
Club,0,0,0,0,0,10,2,0,0,178,1,0,0,0,0,0,87,17,0,5,0,0,0,0,0,0,3,0,118,20
DC2,1,0,0,7,10,0,0,0,22,0,658,0,0,1,0,0,0,0,87,0,0,0,46,0,0,4,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,1,0,43,0,0,0,0,6,0,0,0,37,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,1,0,0,0,0,0,1,0,0,0,0,1,83,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,0,0,0,0,0,0,0,14,272,11,9,0,0,0,1,0,0,1,0,1,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,3,324,63,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,1,0,0,0,1,0,0,0,28,63,277,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Goblet,0,0,0,4,0,5,0,1,0,164,0,22,0,0,0,0,204,3,0,7,12,0,0,0,0,1,13,0,13,7
Hillock-like,0,0,0,0,0,88,0,0,0,1,0,0,1,0,0,0,0,286,0,1,0,0,0,0,0,0,0,0,41,0
Interstitial macrophages,0,0,0,175,0,0,5,4,131,0,55,0,0,0,0,0,0,0,810,0,0,2,104,0,0,9,0,0,0,0
Ionocyte,0,0,0,0,1,10,4,0,0,39,0,0,2,0,0,0,1,0,0,12,2,0,0,0,0,1,0,0,2,0
Multiciliated,0,0,0,3,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,1,915,0,0,0,0,0,0,1,1,2
NK cells,0,0,0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,49,0,0,3,3,108,0,34,0,0,0,0,0,0,0,175,0,0,1,380,0,0,1,0,0,0,0
Peribronchial fibroblasts,0,38,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
Pericytes,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0
Plasma cells,0,0,1,1,2,1,4,4,2,0,1,0,0,0,0,0,0,0,8,1,0,0,5,0,1,178,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,193,18,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,155,0,0
Suprabasal,1,0,0,0,0,149,2,0,0,34,0,1,0,1,0,0,16,69,0,11,0,0,0,0,0,0,0,0,446,1
Transitional Club-AT2,11,1,0,0,0,2,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,4,400
