,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,193,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
Adventitial fibroblasts,0,263,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,0,0,0,0
Alveolar fibroblasts,0,35,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0
Alveolar macrophages,0,1,0,744,0,0,0,0,1,0,7,0,0,0,2,1,0,0,246,0,0,0,18,0,0,1,0,0,0,0
B cells,0,0,0,0,242,1,3,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0
Basal resting,0,1,0,0,0,657,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,90,0
CD4 T cells,0,0,0,0,3,0,783,96,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0
CD8 T cells,1,1,0,0,2,3,139,864,0,0,1,1,0,1,0,0,0,5,0,0,0,81,4,0,0,1,0,0,2,0
Classical monocytes,0,1,0,0,0,0,1,0,906,0,5,0,0,0,1,0,0,0,27,0,0,0,43,0,0,3,0,1,0,0
Club,0,0,0,1,0,2,0,0,1,364,0,6,0,0,0,0,188,8,0,3,0,0,0,0,0,0,5,0,47,23
DC2,0,0,0,9,28,0,0,4,13,1,764,1,0,0,0,0,0,0,55,0,0,0,40,0,0,3,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,1,0,101,0,0,0,0,43,0,0,3,51,0,0,0,0,0,0,0,2,3
EC aerocyte capillary,0,0,0,0,0,0,1,0,0,0,0,0,141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,0,5,1,0,0,0,0,10,354,10,19,0,0,0,1,0,0,0,0,5,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,2,0,0,0,0,4,309,89,0,0,0,0,0,2,0,0,0,0,0,0,0,3
EC venous systemic,0,0,0,0,0,1,0,0,0,0,0,0,0,44,76,468,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Goblet,0,0,0,2,0,3,0,0,0,71,0,9,0,0,0,0,468,5,0,9,4,0,1,0,0,2,8,0,15,21
Hillock-like,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,0,176,0,0,1,0,0,0,0,0,0,0,32,0
Interstitial macrophages,0,0,0,111,0,0,1,0,45,0,78,0,0,0,0,0,0,0,663,1,0,1,70,0,0,1,0,0,0,0
Ionocyte,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,3,0,0,2,0
Multiciliated,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,7,0,0,0,1174,0,0,0,0,0,0,0,0,6
NK cells,0,0,0,0,0,0,1,122,0,0,0,0,0,0,0,0,0,1,0,0,0,524,1,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,35,1,0,1,0,144,1,24,0,0,0,0,1,0,0,171,0,0,0,341,0,0,4,0,0,0,0
Peribronchial fibroblasts,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0
Pericytes,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
Plasma cells,0,0,0,0,5,3,10,1,0,0,0,0,0,0,2,0,0,0,4,3,0,0,1,0,0,283,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,170,2,3,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0
Suprabasal,1,0,0,0,0,62,0,0,0,58,0,0,0,0,0,0,23,45,0,1,0,0,0,0,0,0,3,0,648,3
Transitional Club-AT2,8,0,0,0,0,3,0,0,1,27,1,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,9,0,1,350
